candidate_id,feed_id,source_type,title,link,pub_date,summary,status,created_at
413098f9d6298d77,scotus_recent,scotus_opinion_pdf,McGEE v. McFADDEN. Decided 06/28/2019,http://www.law.cornell.edu/supremecourt/text/18-7277,"Fri, 28 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
d2f9989452adb991,scotus_recent,scotus_opinion_pdf,DEPARTMENT OF COMMERCE  v. NEW YORK. Decided 06/27/2019,http://www.law.cornell.edu/supremecourt/text/18-966,"Thu, 27 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
2e9e3671ba85f164,scotus_recent,scotus_opinion_pdf,"MITCHELL, GERALD P. v. WISCONSIN. Decided 06/27/2019",http://www.law.cornell.edu/supremecourt/text/18-6210,"Thu, 27 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
2b0f50396c037221,scotus_recent,scotus_opinion_pdf,"RUCHO, ROBERT A., ET AL. v. COMMON CAUSE, ET AL.. Decided 06/27/2019",http://www.law.cornell.edu/supremecourt/text/18-422,"Thu, 27 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
b6e05ea77fbc0a5d,scotus_recent,scotus_opinion_pdf,TENN. WINE AND SPIRITS RETAILERS ASSN. v. BLAIR. Decided 06/26/2019,http://www.law.cornell.edu/supremecourt/text/18-96,"Wed, 26 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
6821ed253a73bc53,scotus_recent,scotus_opinion_pdf,"KISOR, JAMES L. v. WILKIE, SEC. OF VA. Decided 06/26/2019",http://www.law.cornell.edu/supremecourt/text/18-15,"Wed, 26 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
86cba5678f85f914,scotus_recent,scotus_opinion_pdf,"UNITED STATES v. HAYMOND, ANDRE R.. Decided 06/26/2019",http://www.law.cornell.edu/supremecourt/text/17-1672,"Wed, 26 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
7781d53f25da96f0,scotus_recent,scotus_opinion_pdf,FOOD MARKETING INSTITUTE v. ARGUS LEADER MEDIA. Decided 06/24/2019,http://www.law.cornell.edu/supremecourt/text/18-481,"Mon, 24 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
47f1e7895f9869d0,scotus_recent,scotus_opinion_pdf,"UNITED STATES v. DAVIS, MAURICE L., ET AL.. Decided 06/24/2019",http://www.law.cornell.edu/supremecourt/text/18-431,"Mon, 24 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
b04ef9f9d792b175,scotus_recent,scotus_opinion_pdf,"IANCU, ANDREI v. BRUNETTI, ERIK. Decided 06/24/2019",http://www.law.cornell.edu/supremecourt/text/18-302,"Mon, 24 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
358d5ce4e52b6658,scotus_recent,scotus_opinion_pdf,"DUTRA GROUP v. BATTERTON, CHRISTOPHER. Decided 06/24/2019",http://www.law.cornell.edu/supremecourt/text/18-266,"Mon, 24 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
b96c5047dc9979c8,scotus_recent,scotus_opinion_pdf,NORTH CAROLINA DEPT. OF REVENUE v. KAESTNER FAMILY TRUST. Decided 06/21/2019,http://www.law.cornell.edu/supremecourt/text/18-457,"Fri, 21 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
f91a02ccadf58e69,scotus_recent,scotus_opinion_pdf,"FLOWERS, CURTIS G. v. MISSISSIPPI. Decided 06/21/2019",http://www.law.cornell.edu/supremecourt/text/17-9572,"Fri, 21 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
722abb730ace462e,scotus_recent,scotus_opinion_pdf,"REHAIF, HAMID M. v. UNITED STATES. Decided 06/21/2019",http://www.law.cornell.edu/supremecourt/text/17-9560,"Fri, 21 Jun 2019 00:00:00 EDT",,new,2025-12-07T19:00:03Z
